symbol,trade_date,open,high,low,close,volume,adj_close
AHF,2025-04-21,612.4365,619.3351,597.8434,608.6698,409352,608.6698
SIEY,2025-04-21,696.7827,701.3515,696.5556,699.4184,289283,699.4184
HQJJ,2025-04-21,703.9485,733.7574,689.4656,726.6251,207611,726.6251
DDTO,2025-04-21,311.0213,314.1137,303.6294,307.1948,172428,307.1948
ZNZWA,2025-04-21,126.4175,127.0385,121.4516,122.5432,2796477,122.5432
OUNA,2025-04-21,569.4045,573.3711,568.7089,571.1944,384002,571.1944
ZQLN,2025-04-21,413.886,414.6226,410.1584,411.9277,3898844,411.9277
RFDY,2025-04-21,323.852,339.5527,322.3932,332.5158,1625096,332.5158
UCEN,2025-04-21,138.6265,141.8259,137.5902,139.492,2671808,139.492
MWXE,2025-04-21,461.9157,462.7018,438.7053,447.512,230735,447.512
BIBMX,2025-04-21,108.5449,108.5716,107.2865,108.0569,1226014,108.0569
LYYA,2025-04-21,96.5987,97.4736,94.9144,95.4046,1372854,95.4046
TEH,2025-04-21,509.4585,520.1337,504.4524,518.1825,3688551,518.1825
ELSO,2025-04-21,551.9502,557.9558,531.5689,546.3762,1017259,546.3762
JOW,2025-04-21,218.7572,221.8195,214.2891,219.5394,378912,219.5394
JBM,2025-04-21,546.2442,549.9185,545.0763,546.6996,2091699,546.6996
IAWGP,2025-04-21,531.4631,537.6474,511.1256,516.2572,1482456,516.2572
SHI,2025-04-21,232.4307,233.4797,228.9192,229.532,787961,229.532
UPIL,2025-04-21,182.1097,185.9788,177.725,184.8187,498556,184.8187
DBZP,2025-04-21,178.1578,184.771,177.0913,181.7022,478110,181.7022
MOXDD,2025-04-21,611.9432,614.8457,590.4813,601.7702,866361,601.7702
MGLSG,2025-04-21,683.3452,685.8035,676.1932,679.0507,884549,679.0507
NTUX,2025-04-21,478.3393,484.7548,470.7786,474.1434,524775,474.1434
CLW,2025-04-21,804.461,833.737,799.2504,830.4642,80182,830.4642
FBYB,2025-04-21,615.5033,633.8202,611.9975,627.9323,108511,627.9323
ZCAI,2025-04-21,281.1998,281.2783,276.5637,277.3787,589540,277.3787
RBQA,2025-04-21,601.7177,613.2552,601.1895,610.4366,546980,610.4366
PJAWE,2025-04-21,518.1597,525.6822,517.4147,523.2858,179110,523.2858
LAHK,2025-04-21,100.6276,102.2489,99.7328,101.9569,361267,101.9569
YRETH,2025-04-21,512.9472,519.3597,511.7394,519.3291,116446,519.3291
CAHM,2025-04-21,690.7145,701.6353,683.9089,694.4362,297249,694.4362
HQPT,2025-04-21,60.3938,60.5255,57.3287,59.3979,85029,59.3979
YUQR,2025-04-21,483.5918,491.6578,480.1332,484.5146,214910,484.5146
CZV,2025-04-21,233.0804,235.2773,230.0549,232.1925,835144,232.1925
VOLI,2025-04-21,165.4327,168.9445,164.195,167.2328,2906562,167.2328
DHWMA,2025-04-21,333.8312,334.2218,330.2034,330.8381,161171,330.8381
ZGOJ,2025-04-21,702.756,735.6403,693.6077,721.1319,7607025,721.1319
OIOO,2025-04-21,776.3718,812.1555,761.6257,801.8273,75811,801.8273
NPWW,2025-04-21,680.3299,684.9088,660.1635,672.6297,198330,672.6297
JISTW,2025-04-21,41.6454,41.7522,41.251,41.3687,1339438,41.3687
HJD,2025-04-21,721.5948,764.1996,713.3605,754.0473,2050078,754.0473
XREL,2025-04-21,786.4452,788.3025,757.5442,772.6011,46275,772.6011
HORT,2025-04-21,726.6811,758.0136,724.6052,748.7212,233152,748.7212
ILP,2025-04-21,601.2385,603.3924,595.4496,596.9806,3753997,596.9806
UMBT,2025-04-21,540.3499,540.9812,536.4546,538.9284,245563,538.9284
AWOX,2025-04-21,362.9281,365.6302,354.7959,356.5869,4721082,356.5869
KTEKC,2025-04-21,326.6518,327.3115,305.6717,307.2906,307256,307.2906
ZYVC,2025-04-21,109.7665,114.0652,109.2903,113.0997,162048,113.0997
UGIE,2025-04-21,370.9403,376.0219,368.4869,376.0047,73030,376.0047
BMK,2025-04-21,362.0388,367.8653,361.9621,366.9954,1706195,366.9954
LUCRW,2025-04-21,58.7154,59.8481,58.3362,59.8154,104924,59.8154
CCT,2025-04-21,127.8744,128.2225,125.7723,126.6068,389944,126.6068
FCVJ,2025-04-21,148.8637,158.5992,148.3224,155.149,402917,155.149
XJED,2025-04-21,335.2282,344.8828,329.7445,344.7589,241400,344.7589
TCLH,2025-04-21,601.2597,626.9312,595.6117,622.0276,228589,622.0276
DNFO,2025-04-21,350.4965,352.3746,350.025,352.2339,521184,352.2339
NKII,2025-04-21,545.7438,548.769,531.5546,535.364,364204,535.364
QZIZI,2025-04-21,494.3632,505.5199,494.2049,500.8517,6952692,500.8517
JPYTB,2025-04-21,203.4309,205.7246,198.7952,203.4503,374344,203.4503
ZNPJ,2025-04-21,270.8432,271.4254,262.9338,264.0798,639682,264.0798
RXIRR,2025-04-21,19.2301,20.0084,19.2188,19.9342,2314092,19.9342
EFYM,2025-04-21,128.0806,129.2062,122.9725,124.9601,5740151,124.9601
VUVE,2025-04-21,297.9584,302.8352,297.1079,302.336,955936,302.336
ZMHJN,2025-04-21,359.5581,368.338,330.3418,334.0524,640120,334.0524
DLYFL,2025-04-21,35.4558,36.6137,35.4523,36.3847,698629,36.3847
SDSL,2025-04-21,344.4664,351.472,338.9868,348.419,1906246,348.419
JOERN,2025-04-21,503.5372,506.2679,489.9979,493.185,97324,493.185
BULH,2025-04-21,545.2765,553.4481,535.1962,542.6216,214336,542.6216
YNUS,2025-04-21,495.3192,496.5881,482.9617,488.7833,74259,488.7833
HZYB,2025-04-21,310.4318,311.3231,307.3553,309.0755,37015,309.0755
ADLJL,2025-04-21,175.3245,180.6827,174.3938,179.2847,395269,179.2847
HXMDW,2025-04-21,630.7645,634.4504,627.437,632.4812,70934,632.4812
FZUGM,2025-04-21,104.4292,105.4162,98.3011,98.5437,54084,98.5437
QLRI,2025-04-21,760.5621,802.1148,756.9451,798.4475,78676,798.4475
XVGQO,2025-04-21,513.1127,519.9811,510.1399,515.6135,1258561,515.6135
MURH,2025-04-21,415.3308,425.4898,413.958,416.4274,1236772,416.4274
IMG,2025-04-21,464.8784,468.2414,455.5614,457.1738,1419834,457.1738
BMW,2025-04-21,449.1944,466.3769,445.9883,456.0748,240703,456.0748
KLO,2025-04-21,133.9144,136.665,133.6022,135.86,388552,135.86
THIVN,2025-04-21,786.7323,794.5671,782.965,794.3397,400146,794.3397
PSPEQ,2025-04-21,703.453,723.0766,698.1699,719.5454,53510,719.5454
SNO,2025-04-21,159.2916,166.0195,158.4715,164.5669,5238861,164.5669
HHYZ,2025-04-21,758.6964,765.6209,734.6599,739.5576,951736,739.5576
HHSJ,2025-04-21,509.0869,545.2192,498.4129,537.2565,155742,537.2565
CIM,2025-04-21,714.7447,716.6272,697.7889,704.9988,323486,704.9988
YAVU,2025-04-21,143.7087,148.4291,142.6599,147.8963,529492,147.8963
VNCR,2025-04-21,54.5424,55.3704,53.5703,53.9494,3855141,53.9494
MER,2025-04-21,424.3318,426.6292,420.7052,423.4767,140826,423.4767
COBO,2025-04-21,369.5069,370.0251,358.1833,363.6407,74197,363.6407
ORI,2025-04-21,233.5694,235.4413,232.7862,232.9227,2058075,232.9227
TTZQ,2025-04-21,421.8208,429.184,419.8278,426.155,93751,426.155
VTZM,2025-04-21,167.843,168.2463,160.808,163.0112,506428,163.0112
PLR,2025-04-21,445.0315,446.4478,437.3456,438.9805,5003,438.9805
WXQLM,2025-04-21,447.1867,458.8289,443.9493,452.4743,580056,452.4743
ODGF,2025-04-21,387.2379,388.8613,382.2325,385.1831,3017549,385.1831
HXFE,2025-04-21,377.6648,381.4314,367.4509,370.1218,726185,370.1218
TIFI,2025-04-21,212.9015,215.2574,210.0636,211.8956,141637,211.8956
ZQME,2025-04-21,333.755,337.0905,333.2552,336.813,230128,336.813
BDFL,2025-04-21,90.3021,91.1777,89.8897,90.588,557618,90.588
NGQ,2025-04-21,327.938,336.2158,327.5658,332.418,4150851,332.418
AHF,2025-04-22,611.6419,630.6725,608.4191,617.3944,800189,617.3944
SIEY,2025-04-22,698.0894,717.4456,694.3174,713.988,497128,713.988
HQJJ,2025-04-22,729.1651,774.0172,725.6721,740.8619,10009723,740.8619
DDTO,2025-04-22,304.9242,307.5149,299.9271,300.6853,663276,300.6853
ZNZWA,2025-04-22,124.5992,125.8689,121.6918,122.651,75951,122.651
OUNA,2025-04-22,572.609,573.8379,565.9623,566.9368,283495,566.9368
ZQLN,2025-04-22,414.526,417.5959,406.3418,408.8675,1845946,408.8675
RFDY,2025-04-22,333.5663,343.5648,333.1864,340.8053,852270,340.8053
UCEN,2025-04-22,138.4126,139.0842,138.0429,138.3608,660703,138.3608
MWXE,2025-04-22,442.4845,457.7894,430.053,456.065,183626,456.065
BIBMX,2025-04-22,108.384,108.8824,106.0583,106.5529,201282,106.5529
LYYA,2025-04-22,95.6309,98.4143,95.2802,97.2959,690907,97.2959
TEH,2025-04-22,522.2543,532.4342,520.2367,528.7385,223634,528.7385
ELSO,2025-04-22,555.0926,558.505,506.2347,520.3296,544024,520.3296
JOW,2025-04-22,219.5479,220.0294,216.136,218.0392,225048,218.0392
JBM,2025-04-22,550.5415,555.7242,528.5719,536.54,868093,536.54
IAWGP,2025-04-22,519.9676,522.1527,500.4977,512.0674,116330,512.0674
SHI,2025-04-22,228.2098,234.2872,227.3981,233.6486,253021,233.6486
UPIL,2025-04-22,185.3348,190.8081,182.5993,189.1803,1521006,189.1803
DBZP,2025-04-22,182.5658,184.2337,180.7853,183.3214,127246,183.3214
MOXDD,2025-04-22,596.7385,606.4619,589.404,596.3491,648466,596.3491
MGLSG,2025-04-22,679.9973,683.5836,678.329,683.1436,518762,683.1436
