as_of_date,account_id,symbol,quantity,avg_cost,market_value_usd,unrealized_pnl_usd
2026-04-21,A000000001,BMW,500,373.6479,422629.83,235805.88
2026-04-21,A000000001,CCT,500,107.5389,78839.25,25069.8
2026-04-21,A000000001,ZNPJ,100,310.5439,37856.06,6801.67
2026-04-21,A000000001,DNFO,200,275.7907,61523.46,6365.32
2026-04-21,A000000001,ELSO,1000,512.2227,218484.12,-293738.58
2026-04-21,A000000001,MWXE,200,590.0575,25795.73,-92215.77
2026-04-21,A000000001,CZV,1000,286.3267,227102.22,-59224.48
2026-04-21,A000000001,ZQME,100,267.9581,27188.4,392.59
2026-04-21,A000000002,KTEKC,1000,301.1357,296773.82,-4361.88
2026-04-21,A000000002,TCLH,500,747.6463,426536.44,52713.29
2026-04-21,A000000002,QZIZI,100,471.7873,77067.61,29888.88
2026-04-21,A000000002,LAHK,200,107.8941,15545.67,-6033.15
2026-04-21,A000000002,CCT,1000,151.4253,157678.51,6253.21
2026-04-21,A000000002,TTZQ,500,348.8627,143701.19,-30730.16
2026-04-21,A000000003,MGLSG,2500,545.1918,2439326.63,1076347.13
2026-04-21,A000000003,HORT,200,807.7698,164975.47,3421.51
2026-04-21,A000000003,AWOX,200,456.0448,65806.1,-25402.86
2026-04-21,A000000003,HQJJ,2500,595.6938,1340512.07,-148722.43
2026-04-21,A000000003,LUCRW,2500,61.9575,149963.78,-4929.97
2026-04-21,A000000003,FZUGM,200,97.9759,28657.68,9062.5
2026-04-21,A000000003,ZMHJN,500,258.9963,92541.66,-36956.49
2026-04-21,A000000004,UPIL,1000,228.7207,320003.59,91282.89
2026-04-21,A000000004,HQPT,500,72.1268,27145.46,-8917.94
2026-04-21,A000000004,DLYFL,100,26.4516,1899.58,-745.58
2026-04-21,A000000004,CAHM,5000,768.2837,6052510.84,2211092.34
2026-04-21,A000000004,TTZQ,200,370.1216,57480.48,-16543.84
2026-04-21,A000000004,DBZP,2500,174.7261,545606.47,108791.22
2026-04-21,A000000005,SIEY,5000,806.9603,5597464.56,1562663.06
2026-04-21,A000000005,ZNPJ,100,350.8967,37856.06,2766.39
2026-04-21,A000000005,DBZP,100,164.1512,21824.26,5409.14
2026-04-21,A000000005,HQJJ,500,873.8938,268102.41,-168844.49
2026-04-21,A000000005,NGQ,500,318.5217,150663.8,-8597.05
2026-04-21,A000000005,XREL,500,860.405,338198.03,-92004.47
2026-04-21,A000000006,PJAWE,100,599.6974,56668.47,-3301.27
2026-04-21,A000000006,YUQR,1000,443.383,636410.56,193027.56
2026-04-21,A000000006,HQJJ,5000,587.8868,2681024.14,-258409.86
2026-04-21,A000000006,SIEY,5000,796.8016,5597464.56,1613456.56
2026-04-21,A000000007,ADLJL,5000,175.9733,1060150.04,180283.54
2026-04-21,A000000007,HQPT,5000,67.9904,271454.61,-68497.39
2026-04-21,A000000007,CAHM,5000,708.3152,6052510.84,2510934.84
2026-04-21,A000000007,FZUGM,200,133.1316,28657.68,2031.36
2026-04-21,A000000007,ZNPJ,500,242.8718,189280.3,67844.4
2026-04-21,A000000007,VNCR,200,41.28,13398.7,5142.7
2026-04-21,A000000008,AWOX,100,449.7415,32903.05,-12071.1
2026-04-21,A000000008,SHI,2500,291.5248,410688.11,-318123.89
2026-04-21,A000000008,JOW,5000,213.8027,1142655.69,73642.19
2026-04-21,A000000009,NGQ,5000,425.0124,1506637.97,-618424.03
2026-04-21,A000000009,AWOX,2500,298.0314,822576.2,77497.7
2026-04-21,A000000009,HZYB,5000,389.8333,2111488.01,162321.51
2026-04-21,A000000009,SDSL,1000,255.8508,336859.88,81009.08
2026-04-21,A000000009,CZV,500,299.8245,113551.11,-36361.14
2026-04-21,A000000009,ILP,500,658.8967,421990.83,92542.48
2026-04-21,A000000010,DHWMA,2500,405.3004,839385.48,-173865.52
2026-04-21,A000000010,HQJJ,5000,521.0496,2681024.14,75776.14
